code,area,year,1_year_survival_rate,2_year_survival_rate,3_year_survival_rate,4_year_survival_rate,5_year_survival_rate,birth_rate,death_rate
E09000019,Islington,2008,87.6,68.2,53.6,44.1,36.6,14.3,9.6
E09000020,Kensington and Chelsea,2008,89.4,70.2,53.8,45.9,38.0,13.3,9.2
E09000021,Kingston upon Thames,2008,92.2,71.6,57.6,48.8,40.5,13.8,10.1
E09000022,Lambeth,2008,88.9,68.6,50.4,41.8,34.8,16.4,10.7
E09000023,Lewisham,2008,93.0,70.0,51.2,42.2,34.9,17.3,10.0
E09000024,Merton,2008,91.6,72.9,56.6,47.4,39.4,15.8,11.0
E09000025,Newham,2008,92.8,62.6,44.9,36.9,29.2,19.9,12.3
E09000026,Redbridge,2008,93.0,70.6,51.8,44.0,36.3,15.8,12.9
E09000027,Richmond upon Thames,2008,92.6,76.6,60.9,51.6,43.9,13.0,9.6
E09000028,Southwark,2008,88.4,66.5,48.9,40.0,33.6,15.8,10.2
E09000029,Sutton,2008,91.7,74.2,59.0,51.3,41.7,11.3,10.4
E09000030,Tower Hamlets,2008,86.3,66.3,49.9,42.5,35.0,17.8,11.0
E09000031,Waltham Forest,2008,91.3,70.9,53.9,44.7,38.4,15.3,13.0
E09000032,Wandsworth,2008,89.3,70.0,53.3,43.8,35.6,16.9,10.7
E09000033,Westminster,2008,80.7,63.6,49.1,41.1,34.7,14.7,9.6
E13000001,Inner London,2008,85.5,66.0,50.4,42.1,35.3,15.3,9.9
E13000002,Outer London,2008,92.0,71.8,55.2,46.8,39.3,14.2,10.9
E12000001,North East,2008,93.4,75.7,59.6,49.5,41.0,12.1,10.0
E12000002,North West,2008,93.8,74.7,57.8,48.2,40.3,11.7,10.0
E12000003,Yorkshire And The Humber,2008,90.7,73.1,56.7,48.0,40.6,11.2,10.4
E12000004,East Midlands,2008,93.8,76.1,59.7,50.3,43.0,10.6,9.4
E12000005,West Midlands,2008,93.7,75.8,58.6,49.2,41.2,10.7,9.4
E12000006,East,2008,93.0,75.2,59.7,50.4,42.4,11.0,9.9
E12000007,London,2008,88.5,68.6,52.6,44.2,37.1,14.7,10.4
E12000008,South East,2008,93.2,76.5,61.4,52.1,44.3,10.8,9.1
E12000009,South West,2008,94.2,77.3,62.3,53.1,45.6,10.1,8.9
E92000001,England,2008,92.1,73.9,57.9,48.8,41.2,11.7,9.7
W92000004,Wales,2008,94.3,76.5,60.0,50.5,42.5,10.1,9.5
S92000003,Scotland,2008,93.3,77.1,61.2,51.8,43.6,10.9,8.7
N92000002,Northern Ireland,2008,81.4,63.4,50.5,42.4,35.5,9.4,7.0
K04000001,England And Wales,2008,92.2,74.0,58.0,48.9,41.3,11.6,9.7
K03000001,Great Britain,2008,92.2,74.2,58.2,49.1,41.4,11.6,9.6
K02000001,United Kingdom,2008,92.0,74.0,58.0,48.9,41.3,11.5,9.6
E09000001,City of London,2009,72.1,59.2,49.7,41.6,36.3,12.0,9.2
E09000002,Barking and Dagenham,2009,91.1,67.5,52.0,39.8,33.3,15.8,14.8
E09000003,Barnet,2009,85.7,67.8,53.1,45.0,37.6,12.1,15.0
E09000004,Bexley,2009,93.8,76.4,63.2,51.4,43.8,10.4,12.7
E09000005,Brent,2009,91.4,70.9,56.1,45.1,37.4,13.5,14.4
E09000006,Bromley,2009,90.5,73.9,59.8,49.2,41.7,10.2,13.5
E09000007,Camden,2009,83.4,67.8,54.5,44.8,38.6,10.9,12.1
E09000008,Croydon,2009,90.4,72.9,58.6,47.1,39.3,11.6,13.5
E09000009,Ealing,2009,92.3,72.2,58.2,48.5,40.2,13.7,13.7
E09000010,Enfield,2009,90.5,70.2,55.7,43.9,37.4,12.5,15.0
E09000011,Greenwich,2009,93.5,75.5,59.2,48.9,40.8,13.7,14.5
E09000012,Hackney,2009,91.4,74.2,61.3,50.7,43.0,13.4,13.7
E09000013,Hammersmith and Fulham,2009,89.4,69.6,53.8,42.3,36.5,13.2,14.8
E09000014,Haringey,2009,91.0,71.8,56.1,46.3,39.6,13.7,13.4
E09000015,Harrow,2009,90.7,72.2,58.1,48.1,41.9,13.2,13.7
E09000016,Havering,2009,93.2,73.3,59.2,47.6,38.7,11.8,13.1
E09000017,Hillingdon,2009,91.5,74.8,58.5,47.6,39.8,12.2,12.8
E09000018,Hounslow,2009,91.6,72.9,57.6,47.3,39.7,13.0,13.1
E09000019,Islington,2009,88.3,70.6,56.5,46.5,40.5,11.9,12.3
E09000020,Kensington and Chelsea,2009,89.7,71.4,57.6,47.6,40.3,11.8,11.5
E09000021,Kingston upon Thames,2009,93.4,78.5,65.2,50.3,42.0,11.9,13.1
E09000022,Lambeth,2009,93.1,72.7,58.1,46.0,38.8,12.7,14.9
E09000023,Lewisham,2009,92.2,71.8,56.3,46.1,38.3,13.5,14.8
E09000024,Merton,2009,92.6,74.7,57.6,45.6,37.3,12.3,13.9
E09000025,Newham,2009,93.5,70.6,53.7,42.1,35.0,17.4,16.5
E09000026,Redbridge,2009,86.9,69.7,53.9,43.1,36.4,15.7,15.4
E09000027,Richmond upon Thames,2009,93.2,76.8,63.6,52.9,44.6,11.5,11.3
E09000028,Southwark,2009,88.5,71.0,56.2,45.9,38.2,12.8,14.6
E09000029,Sutton,2009,92.3,76.9,60.8,49.7,44.1,10.3,12.1
E09000030,Tower Hamlets,2009,87.4,69.3,55.7,44.5,36.2,14.6,14.6
E09000031,Waltham Forest,2009,94.4,72.8,54.9,43.1,37.9,13.6,14.9
E09000032,Wandsworth,2009,93.3,75.5,61.3,48.0,40.8,13.1,14.9
E09000033,Westminster,2009,78.2,62.5,49.9,41.1,34.8,12.3,12.9
E13000001,Inner London,2009,85.9,68.5,54.8,44.6,37.8,12.7,13.2
E13000002,Outer London,2009,91.0,72.7,57.8,47.0,39.5,12.5,13.7
E12000001,North East,2009,92.2,73.4,58.9,47.7,40.2,10.4,11.7
E12000002,North West,2009,91.6,74.3,59.4,47.8,40.5,10.1,12.8
E12000003,Yorkshire And The Humber,2009,89.6,72.2,58.2,48.0,41.2,10.2,12.1
E12000004,East Midlands,2009,92.1,75.0,60.6,50.2,43.1,9.4,11.8
E12000005,West Midlands,2009,91.6,73.6,59.2,48.7,41.5,9.5,12.1
E12000006,East,2009,92.5,76.6,62.2,51.3,44.3,9.9,11.9
E12000007,London,2009,88.3,70.5,56.2,45.7,38.6,12.6,13.5
E12000008,South East,2009,91.6,75.7,61.9,51.2,43.8,9.7,11.3
E12000009,South West,2009,92.6,76.7,63.2,52.4,45.0,8.7,10.8
E92000001,England,2009,90.9,73.9,59.7,48.9,41.8,10.2,12.1
W92000004,Wales,2009,92.1,73.9,58.8,47.9,40.8,9.1,11.0
S92000003,Scotland,2009,90.8,74.4,60.1,48.8,42.1,9.8,10.0
N92000002,Northern Ireland,2009,85.3,67.0,55.3,46.5,39.7,6.6,8.7
K04000001,England And Wales,2009,90.9,73.9,59.7,48.9,41.7,10.2,12.1
K03000001,Great Britain,2009,90.9,73.9,59.7,48.9,41.8,10.2,11.9
K02000001,United Kingdom,2009,90.8,73.8,59.6,48.9,41.7,10.1,11.8
E09000001,City of London,2010,73.7,62.7,52.0,44.2,39.3,10.9,9.1
E09000002,Barking and Dagenham,2010,88.2,70.9,52.8,41.7,36.2,15.2,14.0
E09000003,Barnet,2010,81.8,66.6,51.4,43.2,36.7,11.8,13.5
E09000004,Bexley,2010,85.7,71.4,55.4,45.8,39.3,11.7,11.8
E09000005,Brent,2010,87.7,71.5,54.6,46.3,39.9,12.9,11.2
E09000006,Bromley,2010,88.1,75.9,60.0,50.5,44.1,11.4,10.9
E09000007,Camden,2010,81.1,67.6,54.1,44.7,38.6,11.5,10.4
E09000008,Croydon,2010,86.6,72.2,53.2,44.1,38.1,11.9,11.9
E09000009,Ealing,2010,86.9,70.8,54.8,45.5,39.4,12.0,11.3
E09000010,Enfield,2010,83.8,69.4,52.5,44.6,38.1,12.7,13.1
E09000011,Greenwich,2010,87.7,72.2,56.1,46.2,39.6,14.8,12.5
E09000012,Hackney,2010,85.7,70.4,55.4,46.8,40.8,13.4,10.5
E09000013,Hammersmith and Fulham,2010,84.1,69.2,53.4,43.6,36.6,13.8,11.8
E09000014,Haringey,2010,86.8,70.9,54.3,46.8,40.4,13.5,11.7
E09000015,Harrow,2010,86.4,71.8,56.8,49.3,42.5,12.6,11.7
E09000016,Havering,2010,88.2,72.5,57.3,48.3,41.0,10.9,12.0
E09000017,Hillingdon,2010,89.5,73.9,58.0,50.4,43.7,11.6,11.0
E09000018,Hounslow,2010,89.8,76.0,60.1,50.2,43.5,13.7,11.7
E09000019,Islington,2010,85.5,72.0,55.2,46.5,39.0,12.3,11.7
E09000020,Kensington and Chelsea,2010,83.3,69.4,54.0,44.4,38.9,13.1,10.4
E09000021,Kingston upon Thames,2010,85.3,72.3,57.6,48.0,41.2,11.5,11.8
E09000022,Lambeth,2010,88.1,74.3,57.2,48.9,42.1,13.7,12.2
E09000023,Lewisham,2010,88.8,71.1,55.3,46.2,39.6,12.6,12.9
E09000024,Merton,2010,88.1,73.7,58.4,49.0,42.0,13.4,11.6
E09000025,Newham,2010,84.8,65.8,48.1,39.5,33.3,17.6,14.6
E09000026,Redbridge,2010,86.2,69.8,52.8,43.3,36.4,15.1,13.5
E09000027,Richmond upon Thames,2010,88.6,77.1,61.8,52.9,45.7,11.3,10.0
E09000028,Southwark,2010,86.2,71.8,55.1,45.8,39.8,12.5,10.7
E09000029,Sutton,2010,87.2,73.1,59.6,50.6,44.9,10.8,10.7
E09000030,Tower Hamlets,2010,81.4,67.9,52.6,43.6,36.5,15.8,12.4
E09000031,Waltham Forest,2010,84.2,68.4,51.2,43.7,37.2,13.9,13.7
E09000032,Wandsworth,2010,89.6,74.8,58.6,47.1,39.8,14.0,12.1
E09000033,Westminster,2010,77.9,64.7,52.0,43.2,37.0,12.8,10.9
E13000001,Inner London,2010,82.8,68.7,53.9,44.8,38.4,13.1,11.2
E13000002,Outer London,2010,86.6,71.9,55.8,46.9,40.3,12.5,11.9
E12000001,North East,2010,88.3,73.7,57.3,47.2,40.7,9.4,10.9
E12000002,North West,2010,87.4,71.9,55.7,46.6,39.9,9.7,11.2
E12000003,Yorkshire And The Humber,2010,85.7,70.9,55.7,46.9,40.8,9.9,11.1
E12000004,East Midlands,2010,88.3,74.0,57.7,48.8,41.9,9.1,10.6
E12000005,West Midlands,2010,87.1,72.3,57.1,48.2,41.3,9.4,11.0
E12000006,East,2010,87.8,73.9,58.7,49.8,43.1,9.5,10.1
E12000007,London,2010,84.6,70.2,54.8,45.8,39.3,12.8,11.6
E12000008,South East,2010,87.9,74.5,59.5,50.3,43.4,9.8,10.1
E12000009,South West,2010,88.1,74.2,59.9,51.0,44.2,8.6,9.6
E92000001,England,2010,86.8,72.5,57.1,48.1,41.4,10.1,10.7
W92000004,Wales,2010,86.7,72.2,56.4,47.4,40.7,8.3,10.2
S92000003,Scotland,2010,85.5,72.5,57.1,48.3,41.4,10.0,9.8
N92000002,Northern Ireland,2010,86.9,72.0,55.6,46.6,40.4,7.8,8.8
K04000001,England And Wales,2010,86.8,72.5,57.1,48.1,41.4,10.1,10.7
K03000001,Great Britain,2010,86.7,72.5,57.1,48.1,41.4,10.1,10.6
K02000001,United Kingdom,2010,86.7,72.5,57.1,48.1,41.4,10.0,10.6
E09000001,City of London,2011,80.1,63.8,52.0,45.2,38.2,11.0,9.8
E09000002,Barking and Dagenham,2011,94.0,72.5,54.5,44.9,38.3,19.5,10.6
E09000003,Barnet,2011,91.0,72.1,57.7,48.9,41.3,13.4,12.5
E09000004,Bexley,2011,93.7,76.7,58.7,49.7,43.9,13.0,9.9
E09000005,Brent,2011,94.3,73.9,56.7,47.0,40.7,14.9,10.5
E09000006,Bromley,2011,93.0,76.6,62.7,53.8,46.5,12.1,9.6
E09000007,Camden,2011,90.2,71.4,57.3,48.3,41.9,12.3,9.4
E09000008,Croydon,2011,93.7,74.9,60.1,51.3,44.2,13.8,10.8
E09000009,Ealing,2011,95.2,76.7,57.5,47.7,41.0,15.2,10.0
E09000010,Enfield,2011,91.2,71.2,56.5,47.7,41.2,13.9,11.7
E09000011,Greenwich,2011,94.2,73.3,56.8,47.3,41.2,16.7,10.6
E09000012,Hackney,2011,92.6,75.4,60.9,51.0,43.1,16.2,8.8
E09000013,Hammersmith and Fulham,2011,92.6,73.0,56.0,46.2,39.1,15.4,10.5
E09000014,Haringey,2011,93.9,73.6,58.3,49.4,42.0,15.7,10.2
E09000015,Harrow,2011,94.4,75.1,59.2,50.2,43.3,13.5,10.9
E09000016,Havering,2011,94.0,75.1,58.7,48.8,42.8,12.3,10.3
E09000017,Hillingdon,2011,95.1,76.6,60.9,50.7,45.4,14.4,9.8
E09000018,Hounslow,2011,95.0,75.9,59.9,50.4,43.2,17.3,9.2
E09000019,Islington,2011,92.4,75.5,61.5,50.7,43.6,15.1,9.6
E09000020,Kensington and Chelsea,2011,93.1,74.2,58.3,48.9,41.7,13.6,8.2
E09000021,Kingston upon Thames,2011,93.4,79.2,65.0,54.8,47.7,12.7,9.8
E09000022,Lambeth,2011,93.8,75.8,59.1,47.6,41.4,16.9,9.8
E09000023,Lewisham,2011,94.1,73.0,56.7,48.1,42.2,17.2,11.0
E09000024,Merton,2011,94.7,77.1,61.5,51.2,43.5,16.1,10.6
E09000025,Newham,2011,93.7,70.9,52.5,42.7,36.4,22.0,11.7
E09000026,Redbridge,2011,94.4,74.9,58.8,49.4,41.8,16.9,11.2
E09000027,Richmond upon Thames,2011,94.7,78.3,62.0,53.0,46.3,12.2,10.3
E09000028,Southwark,2011,90.7,71.4,55.9,46.6,40.6,13.8,12.3
E09000029,Sutton,2011,94.8,79.1,65.7,56.4,48.8,11.9,9.7
E09000030,Tower Hamlets,2011,93.6,74.9,58.4,48.5,40.8,18.1,10.4
E09000031,Waltham Forest,2011,93.1,68.6,52.0,43.0,35.0,17.4,12.3
E09000032,Wandsworth,2011,95.5,77.7,62.1,50.2,42.9,16.4,10.2
E09000033,Westminster,2011,85.6,68.9,54.5,45.9,39.4,13.7,9.8
E13000001,Inner London,2011,90.7,72.4,57.2,47.7,40.9,14.8,10.0
E13000002,Outer London,2011,93.8,74.9,59.0,49.6,42.7,14.4,10.6
E12000001,North East,2011,93.7,75.3,59.4,49.6,42.6,11.2,9.8
E12000002,North West,2011,93.1,74.6,59.6,49.5,42.6,11.1,10.9
E12000003,Yorkshire And The Humber,2011,92.1,74.2,59.0,49.8,43.2,10.5,10.0
E12000004,East Midlands,2011,93.3,74.9,60.2,50.8,43.9,10.3,9.7
E12000005,West Midlands,2011,93.4,76.0,60.8,51.4,44.4,10.5,10.0
E12000006,East,2011,93.9,77.4,62.7,52.8,45.8,10.5,9.6
E12000007,London,2011,92.1,73.6,58.0,48.6,41.7,14.6,10.3
E12000008,South East,2011,93.6,77.2,62.4,53.0,46.0,10.8,9.5
E12000009,South West,2011,93.8,77.4,63.0,53.3,47.0,9.6,9.2
E92000001,England,2011,93.1,75.5,60.4,50.8,44.0,11.4,9.9
W92000004,Wales,2011,94.2,75.4,60.1,50.3,43.2,9.3,9.5
S92000003,Scotland,2011,93.9,77.6,62.8,53.2,45.6,10.9,9.0
N92000002,Northern Ireland,2011,90.1,73.6,59.3,51.7,46.1,6.5,8.3
K04000001,England And Wales,2011,93.1,75.5,60.4,50.8,44.0,11.3,9.9
K03000001,Great Britain,2011,93.1,75.6,60.5,51.0,44.1,11.3,9.8
K02000001,United Kingdom,2011,93.1,75.6,60.5,51.0,44.1,11.2,9.8
E09000001,City of London,2012,75.5,62.6,52.4,45.0,37.9,11.3,9.9
E09000002,Barking and Dagenham,2012,93.5,73.4,56.2,46.7,39.6,18.4,12.2
E09000003,Barnet,2012,87.3,69.8,56.3,47.7,40.9,13.5,13.7
E09000004,Bexley,2012,92.7,75.4,59.2,51.4,44.1,12.1,11.8
E09000005,Brent,2012,91.6,70.4,55.4,46.6,39.2,14.9,11.7
E09000006,Bromley,2012,93.1,76.9,62.3,52.4,44.6,12.4,10.5
E09000007,Camden,2012,86.1,69.3,55.9,46.5,39.5,11.9,10.9
E09000008,Croydon,2012,93.2,73.7,58.4,46.7,39.4,13.6,12.1
E09000009,Ealing,2012,92.1,73.5,58.7,50.1,42.5,14.8,11.1
E09000010,Enfield,2012,92.0,73.7,59.1,50.8,43.7,14.3,12.7
E09000011,Greenwich,2012,92.4,71.2,56.4,46.8,40.0,16.3,11.9
E09000012,Hackney,2012,89.5,73.8,58.6,49.1,43.5,16.5,10.4
E09000013,Hammersmith and Fulham,2012,90.2,69.2,52.5,42.2,35.5,15.4,10.8
E09000014,Haringey,2012,91.3,71.3,56.7,48.0,40.7,14.5,11.6
E09000015,Harrow,2012,92.8,74.6,59.8,50.9,43.4,14.0,12.2
E09000016,Havering,2012,93.5,77.0,63.1,53.5,45.2,12.9,11.7
E09000017,Hillingdon,2012,92.6,74.5,60.1,52.3,44.3,13.5,11.5
E09000018,Hounslow,2012,90.7,74.2,58.2,49.5,43.4,15.8,10.5
E09000019,Islington,2012,89.1,69.0,52.9,45.0,38.1,15.3,10.4
E09000020,Kensington and Chelsea,2012,89.3,68.8,54.0,45.4,38.9,13.4,10.1
E09000021,Kingston upon Thames,2012,92.9,79.1,65.8,58.7,50.0,12.2,12.2
E09000022,Lambeth,2012,96.6,67.5,42.1,33.8,25.0,28.7,10.5
E09000023,Lewisham,2012,93.3,75.3,59.0,50.2,42.4,17.2,12.1
E09000024,Merton,2012,91.8,72.2,57.2,49.7,42.5,15.5,12.0
E09000025,Newham,2012,92.1,67.9,52.1,43.5,36.8,20.3,14.0
E09000026,Redbridge,2012,90.7,70.8,56.0,47.0,39.9,16.3,14.0
E09000027,Richmond upon Thames,2012,91.8,75.9,60.8,53.6,45.8,12.6,10.0
E09000028,Southwark,2012,89.2,70.9,55.1,46.1,39.8,14.4,12.0
E09000029,Sutton,2012,92.9,76.9,63.2,52.2,45.1,12.2,11.2
E09000030,Tower Hamlets,2012,88.5,69.3,53.7,43.0,35.9,17.4,12.2
E09000031,Waltham Forest,2012,92.1,71.1,54.2,44.8,37.5,16.8,13.2
E09000032,Wandsworth,2012,91.1,74.5,57.6,47.7,39.9,15.0,11.6
E09000033,Westminster,2012,80.8,64.2,50.8,42.2,35.6,13.9,10.4
E13000001,Inner London,2012,88.0,68.7,52.7,43.7,36.7,15.4,11.0
E13000002,Outer London,2012,91.7,73.4,58.6,49.7,42.4,14.2,11.9
E12000001,North East,2012,92.2,75.6,60.4,51.2,43.6,11.4,11.0
E12000002,North West,2012,92.0,74.2,59.4,50.2,42.9,11.4,11.3
E12000003,Yorkshire And The Humber,2012,91.6,74.3,59.8,50.9,43.9,10.7,10.8
E12000004,East Midlands,2012,92.3,75.0,60.8,52.0,44.9,10.6,10.4
E12000005,West Midlands,2012,92.1,74.8,60.2,51.2,44.4,10.5,10.6
E12000006,East,2012,92.1,75.6,61.5,52.6,45.4,10.6,10.3
E12000007,London,2012,89.7,70.8,55.3,46.4,39.3,14.8,11.4
E12000008,South East,2012,91.1,74.9,61.1,52.1,44.8,10.8,10.2
E12000009,South West,2012,92.3,75.7,61.8,52.9,45.8,9.8,9.9
E92000001,England,2012,91.2,73.8,59.2,50.3,43.1,11.6,10.7
W92000004,Wales,2012,92.3,75.0,60.4,51.3,44.0,9.4,10.2
S92000003,Scotland,2012,91.8,75.9,62.0,52.1,43.7,11.0,10.5
N92000002,Northern Ireland,2012,90.3,68.9,56.8,50.6,44.7,7.0,9.1
K04000001,England And Wales,2012,91.3,73.9,59.3,50.3,43.1,11.5,10.7
K03000001,Great Britain,2012,91.3,74.0,59.5,50.4,43.2,11.5,10.7
K02000001,United Kingdom,2012,91.3,73.9,59.4,50.4,43.2,11.3,10.6
E09000001,City of London,2013,78.5,64.3,53.9,46.1,39.8,12.9,8.5
E09000002,Barking and Dagenham,2013,94.9,73.0,58.2,46.0,36.7,23.4,11.8
E09000003,Barnet,2013,91.7,73.9,58.4,49.2,41.2,16.1,12.4
E09000004,Bexley,2013,94.0,73.5,60.4,51.1,42.2,17.1,11.4
E09000005,Brent,2013,93.2,74.4,59.6,50.7,42.1,18.1,11.2
E09000006,Bromley,2013,95.0,78.6,65.6,55.8,46.6,14.8,9.6
E09000007,Camden,2013,89.6,73.6,59.1,49.5,41.0,14.5,9.5
E09000008,Croydon,2013,93.9,75.3,59.7,48.8,40.3,17.1,11.1
E09000009,Ealing,2013,94.8,75.8,61.4,50.6,41.6,19.6,10.2
E09000010,Enfield,2013,93.6,74.2,57.5,46.7,37.7,18.8,10.8
E09000011,Greenwich,2013,94.3,72.7,55.7,47.4,37.1,20.9,11.1
E09000012,Hackney,2013,93.8,76.8,62.0,52.2,43.2,20.1,8.9
E09000013,Hammersmith and Fulham,2013,93.2,73.4,58.3,48.9,40.8,17.8,10.5
E09000014,Haringey,2013,93.8,74.4,60.2,49.5,40.3,19.1,10.7
E09000015,Harrow,2013,94.0,76.5,62.9,53.7,45.2,16.7,10.8
E09000016,Havering,2013,93.8,75.3,61.0,50.0,40.8,16.5,10.6
E09000017,Hillingdon,2013,93.2,74.8,61.0,51.4,43.1,16.6,10.4
E09000018,Hounslow,2013,93.7,76.2,62.0,53.4,44.3,18.1,10.3
E09000019,Islington,2013,91.5,72.5,56.9,46.6,38.5,20.2,9.8
E09000020,Kensington and Chelsea,2013,92.8,74.5,58.9,49.6,41.8,16.1,9.5
E09000021,Kingston upon Thames,2013,93.7,76.8,62.9,51.5,43.9,14.6,10.5
E09000022,Lambeth,2013,96.4,63.8,47.5,33.6,20.9,28.5,13.0
E09000023,Lewisham,2013,95.1,73.4,54.8,46.3,38.6,20.5,11.0
E09000024,Merton,2013,94.6,78.4,64.0,51.9,42.9,18.4,10.8
E09000025,Newham,2013,92.9,70.0,52.6,43.9,34.9,24.8,13.3
E09000026,Redbridge,2013,94.3,74.5,60.2,49.7,40.5,20.1,12.7
E09000027,Richmond upon Thames,2013,94.8,78.8,63.7,52.8,43.5,14.8,9.3
E09000028,Southwark,2013,91.8,73.4,59.2,49.5,40.6,18.1,10.6
E09000029,Sutton,2013,94.4,76.0,61.4,51.5,43.8,14.9,10.0
E09000030,Tower Hamlets,2013,89.6,69.8,54.9,44.6,35.6,22.1,11.4
E09000031,Waltham Forest,2013,93.3,71.0,57.5,47.3,37.9,20.7,12.4
E09000032,Wandsworth,2013,94.3,75.8,59.4,49.1,40.6,19.2,10.3
E09000033,Westminster,2013,85.5,68.8,55.4,46.0,38.6,15.2,9.5
E13000001,Inner London,2013,90.9,71.1,56.1,46.1,37.4,18.3,10.2
E13000002,Outer London,2013,93.9,75.2,60.6,50.5,41.7,17.5,10.9
E12000001,North East,2013,94.3,74.7,60.2,49.9,41.1,14.7,9.9
E12000002,North West,2013,94.1,74.4,59.7,50.8,41.9,14.7,10.1
E12000003,Yorkshire And The Humber,2013,94.2,75.2,60.8,51.9,43.4,13.6,9.8
E12000004,East Midlands,2013,94.2,75.5,61.5,51.8,42.6,13.7,9.4
E12000005,West Midlands,2013,94.2,75.3,61.2,51.6,43.0,13.4,9.6
E12000006,East,2013,94.2,76.8,63.0,53.3,44.7,13.3,9.5
E12000007,London,2013,92.3,73.0,58.2,48.1,39.3,17.9,10.5
E12000008,South East,2013,94.0,76.9,63.2,53.4,44.6,13.1,9.4
E12000009,South West,2013,93.8,76.8,63.2,53.9,45.6,12.2,9.1
E92000001,England,2013,93.6,75.1,60.9,51.2,42.5,14.4,9.8
W92000004,Wales,2013,93.6,74.8,60.6,50.6,42.0,12.6,9.2
S92000003,Scotland,2013,94.0,76.7,62.1,51.3,41.7,13.3,9.2
N92000002,Northern Ireland,2013,86.4,67.0,56.6,49.4,43.0,8.7,8.8
K04000001,England And Wales,2013,93.6,75.1,60.9,51.2,42.5,14.3,9.7
K03000001,Great Britain,2013,93.6,75.2,60.9,51.2,42.4,14.3,9.7
K02000001,United Kingdom,2013,93.5,75.1,60.9,51.2,42.4,14.1,9.7
E09000001,City of London,2014,73.0,60.5,50.8,42.7,37.7,13.6,8.5
E09000002,Barking and Dagenham,2014,92.7,74.0,58.8,45.0,37.0,23.0,11.7
E09000003,Barnet,2014,88.1,70.5,57.6,46.7,39.9,16.2,11.6
E09000004,Bexley,2014,93.8,78.7,65.3,51.2,41.6,17.3,10.8
E09000005,Brent,2014,93.2,74.7,59.2,48.4,41.0,17.6,10.6
E09000006,Bromley,2014,93.2,78.1,64.2,52.1,45.0,14.8,9.6
E09000007,Camden,2014,87.0,69.6,55.4,44.7,39.2,15.1,9.1
E09000008,Croydon,2014,93.3,77.4,63.2,51.0,42.1,16.6,10.6
E09000009,Ealing,2014,92.6,76.5,62.4,50.6,43.1,17.8,10.3
E09000010,Enfield,2014,90.9,72.5,56.6,44.5,38.6,17.7,11.6
E09000011,Greenwich,2014,94.4,77.2,62.7,48.5,39.6,18.8,11.4
E09000012,Hackney,2014,92.3,76.6,61.2,49.0,42.4,20.2,9.6
E09000013,Hammersmith and Fulham,2014,91.4,73.7,56.3,45.6,39.1,17.7,11.2
E09000014,Haringey,2014,93.8,75.8,60.7,47.9,41.1,18.4,10.9
E09000015,Harrow,2014,91.6,75.3,61.5,51.0,43.5,17.1,10.4
E09000016,Havering,2014,93.6,78.1,62.3,50.5,42.8,15.7,10.7
E09000017,Hillingdon,2014,93.3,77.1,62.2,48.7,40.7,16.6,10.2
E09000018,Hounslow,2014,93.1,76.5,62.7,51.3,44.4,17.8,9.8
E09000019,Islington,2014,90.0,72.5,56.5,45.5,38.2,19.9,10.6
E09000020,Kensington and Chelsea,2014,91.5,74.8,59.1,48.7,42.7,15.9,9.0
E09000021,Kingston upon Thames,2014,93.3,78.3,62.2,50.8,43.7,14.9,9.6
E09000022,Lambeth,2014,96.9,74.3,58.7,25.9,20.1,26.7,16.0
E09000023,Lewisham,2014,93.3,75.9,59.9,47.9,39.8,19.4,11.8
E09000024,Merton,2014,94.0,77.7,62.7,49.6,42.9,17.8,10.8
E09000025,Newham,2014,91.3,71.7,56.2,43.1,37.0,24.5,12.9
E09000026,Redbridge,2014,93.2,74.2,59.5,47.5,41.1,19.6,11.9
E09000027,Richmond upon Thames,2014,94.2,79.3,64.0,52.6,44.3,14.5,9.1
E09000028,Southwark,2014,90.3,74.1,58.0,47.3,40.3,18.5,10.1
E09000029,Sutton,2014,94.5,78.1,66.7,54.0,46.4,14.5,9.7
E09000030,Tower Hamlets,2014,92.1,73.3,56.8,45.1,37.3,20.9,11.8
E09000031,Waltham Forest,2014,92.1,75.2,59.5,47.4,40.2,21.3,12.3
E09000032,Wandsworth,2014,94.3,77.4,60.6,48.4,40.1,17.5,10.5
E09000033,Westminster,2014,83.0,66.3,53.1,43.2,38.0,15.5,9.1
E13000001,Inner London,2014,89.5,71.9,56.9,43.4,37.0,18.2,10.5
E13000002,Outer London,2014,92.6,75.8,61.4,49.3,41.9,17.2,10.7
E12000001,North East,2014,92.3,75.5,59.6,47.9,40.9,14.0,10.3
E12000002,North West,2014,92.8,75.9,60.9,48.7,41.5,13.7,10.2
E12000003,Yorkshire And The Humber,2014,92.5,76.5,62.0,49.9,43.0,13.3,9.8
E12000004,East Midlands,2014,93.3,76.1,61.6,48.9,42.1,13.2,9.4
E12000005,West Midlands,2014,92.2,76.2,61.8,50.1,43.4,13.0,9.7
E12000006,East,2014,93.1,77.4,63.0,51.6,44.5,12.8,9.4
E12000007,London,2014,90.9,73.7,58.9,46.1,39.2,17.7,10.6
E12000008,South East,2014,93.2,77.8,63.6,52.4,45.6,12.7,9.1
E12000009,South West,2014,92.9,77.0,63.4,52.4,45.9,11.7,9.0
E92000001,England,2014,92.3,75.9,61.4,49.4,42.5,14.0,9.7
W92000004,Wales,2014,92.4,75.2,60.0,48.3,42.0,12.3,9.2
