code,area,year,1_year_survival_rate,2_year_survival_rate,3_year_survival_rate,4_year_survival_rate,5_year_survival_rate,birth_rate,death_rate
E09000025,Newham,2003,92.5,70.7,52.3,43.1,36.8,0.0,0.0
E09000026,Redbridge,2003,92.4,73.1,54.3,44.4,36.3,0.0,0.0
E09000027,Richmond upon Thames,2003,93.0,79.1,63.7,54.2,47.3,0.0,0.0
E09000028,Southwark,2003,90.9,74.8,58.8,47.6,40.9,0.0,0.0
E09000029,Sutton,2003,93.3,78.4,64.2,53.7,47.8,0.0,0.0
E09000030,Tower Hamlets,2003,91.7,72.7,56.3,47.0,39.7,0.0,0.0
E09000031,Waltham Forest,2003,93.7,75.4,56.5,46.9,40.6,0.0,0.0
E09000032,Wandsworth,2003,88.5,68.1,49.1,38.6,32.2,0.0,0.0
E09000033,Westminster,2003,90.6,73.2,50.5,42.0,35.8,0.0,0.0
E13000001,Inner London,2003,91.0,72.8,55.0,45.3,38.3,0.0,0.0
E13000002,Outer London,2003,92.2,74.8,58.2,48.1,40.7,0.0,0.0
E12000001,North East,2003,92.3,77.3,62.5,53.2,45.4,0.0,0.0
E12000002,North West,2003,92.4,78.0,64.2,55.1,47.2,0.0,0.0
E12000003,Yorkshire And The Humber,2003,93.1,78.9,64.8,55.1,46.9,0.0,0.0
E12000004,East Midlands,2003,93.1,78.8,64.6,55.3,47.9,0.0,0.0
E12000005,West Midlands,2003,92.5,78.6,64.8,55.7,47.5,0.0,0.0
E12000006,East,2003,92.9,79.2,65.8,56.9,49.1,0.0,0.0
E12000007,London,2003,91.5,73.7,56.5,46.6,39.4,0.0,0.0
E12000008,South East,2003,93.3,80.1,66.3,56.7,49.1,0.0,0.0
E12000009,South West,2003,92.6,79.6,66.4,57.4,49.3,0.0,0.0
E92000001,England,2003,92.6,77.9,63.5,54.1,46.4,0.0,0.0
W92000004,Wales,2003,91.9,77.9,64.4,55.2,46.9,0.0,0.0
S92000003,Scotland,2003,93.2,78.3,63.4,54.0,47.5,0.0,0.0
N92000002,Northern Ireland,2003,95.0,81.9,70.6,62.2,56.2,0.0,0.0
K04000001,England And Wales,2003,92.5,77.9,63.5,54.1,46.4,0.0,0.0
K03000001,Great Britain,2003,92.6,78.0,63.5,54.1,46.5,0.0,0.0
K02000001,United Kingdom,2003,92.6,78.0,63.6,54.3,46.6,0.0,0.0
E09000001,City of London,2004,91.5,78.3,67.7,59.1,52.8,9.8,9.7
E09000002,Barking and Dagenham,2004,95.8,77.1,60.4,49.0,38.5,15.4,13.1
E09000003,Barnet,2004,93.8,71.7,56.9,47.0,39.4,12.4,15.3
E09000004,Bexley,2004,94.1,78.2,60.1,50.5,44.1,14.6,12.4
E09000005,Brent,2004,92.8,71.7,55.3,45.0,38.6,15.9,15.4
